event_ns,lane,note_id,stage,judgment,delay_ns
41741510579,0,250,scored,perfect,-234019
42021692568,1,251,scored,perfect,-36833
42119674887,0,252,scored,perfect,-344836
42224667257,1,253,scored,perfect,150659
42359668160,0,254,scored,perfect,-497508
42421668898,1,255,scored,perfect,-510436
42455667331,0,256,scored,perfect,198851
42929666531,0,257,scored,perfect,-101271
43018666628,1,258,scored,perfect,-1709
43215666489,0,259,scored,perfect,-338502
43275666952,1,260,scored,perfect,174479
43331669030,1,261,scored,perfect,42419
43373702216,0,262,scored,perfect,-37359
43808670579,1,263,scored,perfect,128438
44023665517,0,264,scored,perfect,275904
44110667013,1,265,scored,perfect,315626
44140666624,0,266,scored,perfect,-639945
44179665845,1,267,scored,perfect,68481
44248665861,0,268,scored,perfect,402335
44284667199,1,269,scored,perfect,-455028
44290667690,0,270,scored,perfect,278825
44384667122,1,271,scored,perfect,-519078
44399671896,0,272,scored,perfect,343880
44543668105,1,273,scored,perfect,-93690
44583666201,0,274,scored,perfect,-71008
44875665934,1,275,scored,perfect,145210
44915671713,0,276,scored,perfect,269219
45012665417,0,277,scored,perfect,164873
45069666422,0,278,scored,perfect,-197461
45106665802,1,279,scored,perfect,275806
45182666152,0,280,scored,perfect,92766
45229665798,1,281,scored,perfect,309214
45259666969,0,282,scored,perfect,-241878
45563694783,0,283,scored,perfect,204941
45661666331,1,284,scored,perfect,-54393
45912668909,0,285,scored,perfect,134497
45959667682,0,286,scored,perfect,-250772
46012665795,0,287,scored,perfect,343164
46208696209,0,288,scored,perfect,278645
46444670418,0,289,scored,perfect,-396605
46658665906,1,290,scored,perfect,224470
46718666499,1,291,scored,perfect,-53905
46732667653,0,292,scored,perfect,-372743
47227669676,0,293,scored,perfect,-79122
47564666631,0,294,scored,perfect,-215527
47721667357,1,295,scored,perfect,-20277
48013666115,1,296,scored,perfect,219160
48259667594,0,297,scored,perfect,-183544
48271668134,1,298,scored,perfect,-463072
48427667337,1,299,scored,perfect,322411
48559667328,0,300,scored,perfect,-141911
48577666382,1,301,scored,perfect,-340376
48649666404,1,302,scored,perfect,-331095
48795667719,0,303,scored,perfect,57755
48815673261,1,304,scored,perfect,116574
48862669631,0,305,scored,perfect,-347123
48948666236,1,306,scored,perfect,-102473
48971669175,0,307,scored,perfect,-440823
49049666131,0,308,scored,perfect,-308640
49105665982,0,309,scored,perfect,12137
49221666284,1,310,scored,perfect,185359
49320666350,0,311,scored,perfect,-327462
49380666611,1,312,scored,perfect,-769910
49511665530,0,313,scored,perfect,-154202
49545666558,1,314,scored,perfect,249017
49555665991,0,315,scored,perfect,-369054
49609691180,1,316,scored,perfect,449100
49862668976,0,317,scored,perfect,194432
49973665702,0,318,scored,perfect,-497149
50157681112,1,319,scored,perfect,-422441
50239666242,0,320,scored,perfect,-13751
50349665710,0,321,scored,perfect,-754519
50393667131,1,322,scored,perfect,-578367
50442667259,1,323,scored,perfect,-142870
